Month,Amount
1,16.5
2,15.17
3,12.75
4,12.31
5,8.34
6,8.63
7,12.37
8,11.53
9,9.47
10,9.57
11,14.44
12,24.5
13,19.94
14,13.99
15,12.5
16,9.32
17,7.63
18,7.44
19,9.86
20,8.92
21,7.38
22,8.17
23,15.65
24,20.07
25,16.98
26,13.45
27,12.15
28,12.29
29,7.42
30,6.83
31,10.96
32,9.09
33,8.51
34,8.49
35,14.83
36,21.15
37,15.21
38,14.75
39,11.81
40,14.11
41,7.42
42,9.61
43,9.76
44,8.78
45,6.63
46,8.88
47,14.92
48,21.17
49,19.74
50,15.47
51,11.39
52,10.51
53,7.73
54,9.2
55,10.53
56,9.06
57,6.65
58,7.8
59,12.49
60,18.39
61,14.74
62,13.23
63,9.91
64,10.38
65,6.73
66,6.75
67,9.16
68,9.21
69,6.19
70,7.85
71,16.64
72,23.84
73,16.05
74,13.31
75,12.11
76,11.42
77,8.77
78,7.45
79,10.19
80,9.76
81,7.7
82,7.86
83,15.27
84,18.33
85,18.61
86,13.53
87,11.47
88,12.94
89,8.53
90,7.61
91,11.28
92,9.68
93,8.12
94,8.67
95,14.79
96,20.15
97,16.56
98,13.53
99,13.53
100,11.58
101,8.03
102,9.46
103,10.75
104,10.28
105,8.04
106,12.27
107,14.02
108,17.52
109,16
110,11.99
111,6.96
112,10.02
113,6.14
114,7.15
115,9.72
116,7.85
117,5.73
118,7.27
119,10.13
120,17.54
121,15.04
122,11.21
123,8.7
124,9.92
125,6.65
126,6.73
127,8.12
128,8.31
129,6.87
130,5.45
131,11.29
132,18.21
